epoch,step,train_auc_eval,train_f1_eval,train_loss,train_loss_epoch,train_loss_eval,train_map_eval
0,0,0.4892822802066803,0.017204109579324722,,,0.6967544657046875,0.014716136269271374
0,9,,,0.6967334747314453,,,
0,19,,,0.2298709899187088,,,
0,29,,,0.07136444002389908,,,
0,39,,,0.07438669353723526,,,
0,49,,,0.07213842868804932,,,
0,59,,,0.06284279376268387,,,
0,69,,,0.052944835275411606,,,
0,79,,,0.062457937747240067,,,
0,89,,,0.05767994374036789,,,
0,99,,,0.05963273346424103,,,
0,109,,,0.0588424988090992,,,
0,119,,,0.061032116413116455,,,
0,129,,,0.05474870651960373,,,
0,139,,,0.05704544484615326,,,
0,149,,,0.0586276538670063,,,
0,159,,,0.05897914990782738,,,
0,169,,,0.05834051966667175,,,
0,179,,,0.05981842055916786,,,
0,189,,,0.055856864899396896,,,
0,199,,,0.05624974146485329,,,
0,209,,,0.06093919649720192,,,
0,219,,,0.060249850153923035,,,
0,229,,,0.05789719149470329,,,
0,239,,,0.06194694712758064,,,
0,249,,,0.05615018308162689,,,
0,259,,,0.05984770879149437,,,
0,269,,,0.06290220469236374,,,
0,279,,,0.05385593697428703,,,
0,282,,,,0.07848265022039413,,
1,289,,,0.05497610941529274,,,
1,299,,,0.05677345395088196,,,
1,309,,,0.05774178355932236,,,
1,319,,,0.0580979585647583,,,
1,329,,,0.05819717422127724,,,
1,339,,,0.059959299862384796,,,
1,349,,,0.056561682373285294,,,
1,359,,,0.05434007942676544,,,
1,369,,,0.05623434856534004,,,
1,379,,,0.05698452517390251,,,
1,389,,,0.05525248870253563,,,
1,399,,,0.057034868746995926,,,
1,409,,,0.057252850383520126,,,
1,419,,,0.05553644895553589,,,
1,429,,,0.06061103194952011,,,
1,439,,,0.054635971784591675,,,
1,449,,,0.051110826432704926,,,
1,459,,,0.05816233903169632,,,
1,469,,,0.05520811676979065,,,
1,479,,,0.05846972391009331,,,
1,489,,,0.05528927966952324,,,
1,499,,,0.05367080122232437,,,
1,509,,,0.058803122490644455,,,
1,519,,,0.05506882071495056,,,
1,529,,,0.054545871913433075,,,
1,539,,,0.057192087173461914,,,
1,549,,,0.05528733506798744,,,
1,559,,,0.05528854951262474,,,
1,565,,,,0.05725189298391342,,
2,569,,,0.055472198873758316,,,
2,579,,,0.05310114473104477,,,
2,589,,,0.05823127180337906,,,
2,599,,,0.056504204869270325,,,
2,609,,,0.05538700893521309,,,
2,619,,,0.054217565804719925,,,
2,629,,,0.05703878030180931,,,
2,639,,,0.056951574981212616,,,
2,649,,,0.05628905072808266,,,
2,659,,,0.056004397571086884,,,
2,669,,,0.05375591292977333,,,
2,679,,,0.05635564401745796,,,
2,689,,,0.05327390134334564,,,
2,699,,,0.0545082613825798,,,
2,709,,,0.054755184799432755,,,
2,719,,,0.062317196279764175,,,
2,729,,,0.05696452036499977,,,
2,739,,,0.05889822915196419,,,
2,749,,,0.05435774475336075,,,
2,759,,,0.05651126429438591,,,
2,769,,,0.055681128054857254,,,
2,779,,,0.05706782266497612,,,
2,789,,,0.05606613680720329,,,
2,799,,,0.055262546986341476,,,
2,809,,,0.05291735753417015,,,
2,819,,,0.05974365025758743,,,
2,829,,,0.05711410939693451,,,
2,839,,,0.054638464003801346,,,
2,848,,,,0.05611894652247429,,
3,849,,,0.057329606264829636,,,
3,859,,,0.052269067615270615,,,
3,869,,,0.0539674311876297,,,
3,879,,,0.054319676011800766,,,
3,889,,,0.056958578526973724,,,
3,899,,,0.058059416711330414,,,
3,909,,,0.05219613015651703,,,
3,919,,,0.06003408133983612,,,
3,929,,,0.05640760436654091,,,
3,939,,,0.054693661630153656,,,
3,949,,,0.058392416685819626,,,
3,959,,,0.052447568625211716,,,
3,969,,,0.05459729954600334,,,
3,979,,,0.05372942239046097,,,
3,989,,,0.05311668664216995,,,
3,999,,,0.05027786269783974,,,
3,1009,,,0.05483053997159004,,,
3,1019,,,0.052914708852767944,,,
3,1029,,,0.0493728332221508,,,
3,1039,,,0.0538429319858551,,,
3,1049,,,0.057224877178668976,,,
3,1059,,,0.052095428109169006,,,
3,1069,,,0.05208536982536316,,,
3,1079,,,0.05194499343633652,,,
3,1089,,,0.0553097166121006,,,
3,1099,,,0.04933811351656914,,,
3,1109,,,0.05231183394789696,,,
3,1119,,,0.05605451017618179,,,
3,1129,,,0.05207023769617081,,,
3,1131,,,,0.053874168545007706,,
4,1139,,,0.052597880363464355,,,
4,1149,,,0.0573510006070137,,,
4,1159,,,0.05439750850200653,,,
4,1169,,,0.050047095865011215,,,
4,1179,,,0.05150432139635086,,,
4,1189,,,0.04928131774067879,,,
4,1199,,,0.0505683496594429,,,
4,1209,,,0.052814435213804245,,,
4,1219,,,0.05456645414233208,,,
4,1229,,,0.05058255046606064,,,
4,1239,,,0.051661767065525055,,,
4,1249,,,0.05108124390244484,,,
4,1259,,,0.05245440453290939,,,
4,1269,,,0.0503033809363842,,,
4,1279,,,0.05119845271110535,,,
4,1289,,,0.05439215525984764,,,
4,1299,,,0.05263904109597206,,,
4,1309,,,0.054997753351926804,,,
4,1319,,,0.05346568301320076,,,
4,1329,,,0.04955105111002922,,,
4,1339,,,0.05261765047907829,,,
4,1349,,,0.0570603609085083,,,
4,1359,,,0.05773903802037239,,,
4,1369,,,0.04965613782405853,,,
4,1379,,,0.051122695207595825,,,
4,1389,,,0.05266952887177467,,,
4,1399,,,0.04962097480893135,,,
4,1409,,,0.05132286995649338,,,
4,1414,,,,0.05302780866622925,,
5,1419,,,0.051227256655693054,,,
5,1429,,,0.054276518523693085,,,
5,1439,,,0.05078309401869774,,,
5,1449,,,0.05074585601687431,,,
5,1459,,,0.05404820293188095,,,
5,1469,,,0.053549133241176605,,,
5,1479,,,0.05416961386799812,,,
5,1489,,,0.05107976868748665,,,
5,1499,,,0.049543943256139755,,,
5,1509,,,0.055436521768569946,,,
5,1519,,,0.0537792332470417,,,
5,1529,,,0.05216442048549652,,,
5,1539,,,0.0507538728415966,,,
5,1549,,,0.056433651596307755,,,
5,1559,,,0.05161471292376518,,,
5,1569,,,0.05011928081512451,,,
5,1579,,,0.05611104518175125,,,
5,1589,,,0.052891992032527924,,,
5,1599,,,0.053333502262830734,,,
5,1609,,,0.04866031929850578,,,
5,1619,,,0.05182313174009323,,,
5,1629,,,0.05485396459698677,,,
5,1639,,,0.056675754487514496,,,
5,1649,,,0.055411312729120255,,,
5,1659,,,0.053504977375268936,,,
5,1669,,,0.05378206819295883,,,
5,1679,,,0.04805111512541771,,,
5,1689,,,0.05487166717648506,,,
5,1697,,,,0.05263989046216011,,
6,1699,,,0.05308952555060387,,,
6,1709,,,0.05393178388476372,,,
6,1719,,,0.05209003761410713,,,
6,1729,,,0.04866301640868187,,,
6,1739,,,0.04986649751663208,,,
6,1749,,,0.0553877055644989,,,
6,1759,,,0.05195440724492073,,,
6,1769,,,0.051080163568258286,,,
6,1779,,,0.0564812608063221,,,
6,1789,,,0.051013700664043427,,,
6,1799,,,0.051109179854393005,,,
6,1809,,,0.0589463971555233,,,
6,1819,,,0.05862576887011528,,,
6,1829,,,0.050168417394161224,,,
6,1839,,,0.05341671034693718,,,
6,1849,,,0.04890900105237961,,,
6,1859,,,0.050909630954265594,,,
6,1869,,,0.05257105454802513,,,
6,1879,,,0.051853928714990616,,,
6,1889,,,0.05127081274986267,,,
6,1899,,,0.055389951914548874,,,
6,1909,,,0.0498756468296051,,,
6,1919,,,0.0499328151345253,,,
6,1929,,,0.049698520451784134,,,
6,1939,,,0.05157185718417168,,,
6,1949,,,0.05336713045835495,,,
6,1959,,,0.05602039769291878,,,
6,1969,,,0.052649594843387604,,,
6,1979,,,0.051649969071149826,,,
6,1980,,,,0.052426040172576904,,
7,1989,,,0.052516449242830276,,,
7,1999,,,0.05473211407661438,,,
7,2009,,,0.05344921723008156,,,
