epoch,step,train_auc_eval,train_f1_eval,train_loss,train_loss_epoch,train_map_eval,val_auc,val_f1,val_loss,val_map
0,9,,,0.7334029674530029,,,,,,
0,19,,,0.6302658319473267,,,,,,
0,29,,,0.5827679634094238,,,,,,
0,36,0.5020287036895752,0.02160385437309742,,0.6005479097366333,0.01653249002993107,,,,
1,39,,,0.5241580009460449,,,,,,
1,49,,,0.49963468313217163,,,,,,
1,59,,,0.4783814549446106,,,,,,
1,69,,,0.45331236720085144,,,,,,
1,73,0.5066594481468201,0.014704424887895584,,0.48036080598831177,0.01713593676686287,,,,
2,79,,,0.4362196624279022,,,,,,
2,89,,,0.41562697291374207,,,,,,
2,99,,,0.3962239623069763,,,,,,
2,109,,,0.3724521994590759,,,,,,
2,110,0.5095873475074768,0.010532649233937263,,0.39887627959251404,0.01703782193362713,,,,
3,119,,,0.3599929213523865,,,,,,
3,129,,,0.34546926617622375,,,,,,
3,139,,,0.32749760150909424,,,,,,
3,147,0.5136384963989258,0.006915694568306208,,0.33163124322891235,0.017872385680675507,,,,
4,149,,,0.3032403588294983,,,,,,
4,159,,,0.28988704085350037,,,,,,
4,169,,,0.2763324975967407,,,,,,
4,179,,,0.2646581530570984,,,,,,
4,184,0.5036637783050537,0.0033951736986637115,,0.2788001298904419,0.016392141580581665,,,,
5,189,,,0.2541148066520691,,,,,,
5,199,,,0.2444009631872177,,,,,,
5,209,,,0.23318010568618774,,,,,,
5,219,,,0.22579893469810486,,,,,,
5,221,0.5049731135368347,0.002181482734158635,,0.23711349070072174,0.016720067709684372,,,,
6,229,,,0.21803916990756989,,,,,,
6,239,,,0.21207526326179504,,,,,,
6,249,,,0.20021633803844452,,,,,,
6,258,0.5091385245323181,0.0009274661424569786,,0.20462754368782043,0.018229525536298752,,,,
7,259,,,0.18982259929180145,,,,,,
7,269,,,0.182379812002182,,,,,,
7,279,,,0.17845924198627472,,,,,,
7,289,,,0.17111338675022125,,,,,,
7,295,0.5082074403762817,0.0007119664223864675,,0.17937396466732025,0.016942746937274933,,,,
8,299,,,0.16956289112567902,,,,,,
8,309,,,0.16247262060642242,,,,,,
8,319,,,0.15764251351356506,,,,,,
8,329,,,0.14958304166793823,,,,,,
8,332,0.5058678984642029,0.00019888122915290296,,0.15957650542259216,0.017447026446461678,,,,
9,339,,,0.1507309079170227,,,,,,
9,349,,,0.14819841086864471,,,,,,
9,359,,,0.14163444936275482,,,,,,
9,369,,,0.13721108436584473,,,,,,
9,369,,,,,,0.5507142543792725,0.0,0.1312181055545807,0.029922978952527046
9,369,0.5141260027885437,0.0001893785665743053,,0.14366614818572998,0.01763058826327324,,,,
10,379,,,0.13832131028175354,,,,,,
10,389,,,0.1358063966035843,,,,,,
10,399,,,0.1298046112060547,,,,,,
10,406,0.5051199197769165,0.00012261256051715463,,0.13063621520996094,0.016684073954820633,,,,
11,409,,,0.12371226400136948,,,,,,
11,419,,,0.11985564976930618,,,,,,
11,429,,,0.11937963962554932,,,,,,
11,439,,,0.1163044348359108,,,,,,
11,443,0.5138503909111023,4.389542300486937e-05,,0.11991142481565475,0.0176108218729496,,,,
12,449,,,0.11638744175434113,,,,,,
12,459,,,0.11299069970846176,,,,,,
12,469,,,0.10991329699754715,,,,,,
12,479,,,0.11049409210681915,,,,,,
12,480,0.5140886306762695,5.246793443802744e-05,,0.11115743219852448,0.017662670463323593,,,,
13,489,,,0.10924983769655228,,,,,,
13,499,,,0.10811231285333633,,,,,,
13,509,,,0.10743102431297302,,,,,,
13,517,0.5064777135848999,0.00014037892105989158,,0.10457011312246323,0.01855650544166565,,,,
14,519,,,0.10078898817300797,,,,,,
14,529,,,0.1006205826997757,,,,,,
14,539,,,0.09684967994689941,,,,,,
14,549,,,0.0976380780339241,,,,,,
14,554,0.5001041293144226,0.00016610162856522948,,0.09841979295015335,0.017818618565797806,,,,
15,559,,,0.09569625556468964,,,,,,
15,569,,,0.09119416028261185,,,,,,
15,579,,,0.0924597680568695,,,,,,
15,589,,,0.09109397232532501,,,,,,
15,591,0.5063644647598267,0.0001749419025145471,,0.09333381801843643,0.018243519589304924,,,,
16,599,,,0.09145280718803406,,,,,,
16,609,,,0.09090083837509155,,,,,,
16,619,,,0.08831828832626343,,,,,,
16,628,0.5099464058876038,0.00031178005156107247,,0.0891740471124649,0.018984220921993256,,,,
17,629,,,0.0878431499004364,,,,,,
17,639,,,0.08908285945653915,,,,,,
17,649,,,0.08623578399419785,,,,,,
17,659,,,0.08054749667644501,,,,,,
17,665,0.5182221531867981,0.0005407851422205567,,0.08575832098722458,0.019304729998111725,,,,
18,669,,,0.08583658188581467,,,,,,
18,679,,,0.081756092607975,,,,,,
18,689,,,0.08161140233278275,,,,,,
18,699,,,0.08375514298677444,,,,,,
18,702,0.5112612247467041,0.0007012028363533318,,0.08260039985179901,0.01964394375681877,,,,
19,709,,,0.0802440419793129,,,,,,
19,719,,,0.07992304116487503,,,,,,
19,729,,,0.08027039468288422,,,,,,
19,739,,,0.07375236600637436,,,,,,
19,739,,,,,,0.5523905754089355,0.0010768012143671513,0.07631192356348038,0.03222302347421646
19,739,0.5028445720672607,0.0012684569228440523,,0.0800158828496933,0.02033017762005329,,,,
20,749,,,0.07918854802846909,,,,,,
20,759,,,0.079116091132164,,,,,,
20,769,,,0.07210083305835724,,,,,,
20,776,0.5078448057174683,0.0016543986275792122,,0.07752479612827301,0.021196799352765083,,,,
21,779,,,0.07321121543645859,,,,,,
21,789,,,0.07439184188842773,,,,,,
21,799,,,0.08037290722131729,,,,,,
21,809,,,0.07382450252771378,,,,,,
21,813,0.5231102108955383,0.0021596404258161783,,0.07537836581468582,0.02317766658961773,,,,
22,819,,,0.07035581022500992,,,,,,
22,829,,,0.07250773906707764,,,,,,
22,839,,,0.0738968774676323,,,,,,
22,849,,,0.0751509889960289,,,,,,
22,850,0.5263901948928833,0.002812890103086829,,0.07369360327720642,0.022707272320985794,,,,
23,859,,,0.07158932089805603,,,,,,
23,869,,,0.07501567155122757,,,,,,
23,879,,,0.07656831294298172,,,,,,
23,887,0.5188700556755066,0.0036216748412698507,,0.07204646617174149,0.023628810420632362,,,,
24,889,,,0.07274036854505539,,,,,,
24,899,,,0.07161252200603485,,,,,,
24,909,,,0.06763649731874466,,,,,,
24,919,,,0.07178948074579239,,,,,,
24,924,0.5270431637763977,0.004333193879574537,,0.07059977948665619,0.02371032163500786,,,,
25,929,,,0.07314188033342361,,,,,,
25,939,,,0.07075934112071991,,,,,,
25,949,,,0.06951211392879486,,,,,,
25,959,,,0.07023679465055466,,,,,,
25,961,0.5207762718200684,0.005024970043450594,,0.06910859793424606,0.025596149265766144,,,,
26,969,,,0.06477942317724228,,,,,,
26,979,,,0.06831102073192596,,,,,,
26,989,,,0.07023622840642929,,,,,,
26,998,0.5256922841072083,0.005674468353390694,,0.06780378520488739,0.026871077716350555,,,,
27,999,,,0.06514670699834824,,,,,,
27,1009,,,0.06497831642627716,,,,,,
27,1019,,,0.06460677087306976,,,,,,
27,1029,,,0.06632743775844574,,,,,,
27,1035,0.5337488055229187,0.006142016500234604,,0.06675370037555695,0.026861565187573433,,,,
28,1039,,,0.06678533554077148,,,,,,
28,1049,,,0.06798772513866425,,,,,,
28,1059,,,0.06562347710132599,,,,,,
28,1069,,,0.06577543169260025,,,,,,
28,1072,0.5296176671981812,0.006599127314984798,,0.06583701074123383,0.028400195762515068,,,,
29,1079,,,0.07085227221250534,,,,,,
29,1089,,,0.06414036452770233,,,,,,
29,1099,,,0.06194107607007027,,,,,,
29,1109,,,0.06854330748319626,,,,,,
29,1109,,,,,,0.5429136753082275,0.006960823200643063,0.06473781168460846,0.039519257843494415
29,1109,0.537112832069397,0.007174483500421047,,0.06471665948629379,0.029063066467642784,,,,
30,1119,,,0.06565235555171967,,,,,,
30,1129,,,0.06296156346797943,,,,,,
30,1139,,,0.06112418696284294,,,,,,
30,1146,0.537925124168396,0.007348332554101944,,0.0639670342206955,0.029562635347247124,,,,
31,1149,,,0.06489930301904678,,,,,,
31,1159,,,0.06140945851802826,,,,,,
31,1169,,,0.06199544295668602,,,,,,
31,1179,,,0.06455009430646896,,,,,,
31,1183,0.5384780764579773,0.007734828162938356,,0.06298606842756271,0.03140398859977722,,,,
32,1189,,,0.06499098241329193,,,,,,
32,1199,,,0.05963541567325592,,,,,,
32,1209,,,0.060707833617925644,,,,,,
32,1219,,,0.062011491507291794,,,,,,
32,1220,0.5496253967285156,0.0079560661688447,,0.06205880641937256,0.032920610159635544,,,,
33,1229,,,0.06217798963189125,,,,,,
33,1239,,,0.062458984553813934,,,,,,
33,1249,,,0.05829235911369324,,,,,,
33,1257,0.5501258969306946,0.008063491433858871,,0.061431024223566055,0.03443777561187744,,,,
34,1259,,,0.059359557926654816,,,,,,
34,1269,,,0.06245602294802666,,,,,,
34,1279,,,0.05802076682448387,,,,,,
34,1289,,,0.06001913920044899,,,,,,
34,1294,0.5605471134185791,0.008189864456653595,,0.0607692189514637,0.03474024683237076,,,,
35,1299,,,0.06033718213438988,,,,,,
35,1309,,,0.06121233105659485,,,,,,
35,1319,,,0.057062435895204544,,,,,,
35,1329,,,0.05528513342142105,,,,,,
35,1331,0.5578322410583496,0.008389867842197418,,0.05990981683135033,0.03910048305988312,,,,
36,1339,,,0.0611816830933094,,,,,,
36,1349,,,0.059127435088157654,,,,,,
36,1359,,,0.06229480355978012,,,,,,
36,1368,0.5658445954322815,0.008521555922925472,,0.059275902807712555,0.040520261973142624,,,,
37,1369,,,0.05688857287168503,,,,,,
37,1379,,,0.060749419033527374,,,,,,
37,1389,,,0.05784773454070091,,,,,,
37,1399,,,0.05701073631644249,,,,,,
37,1405,0.5652434229850769,0.008643656969070435,,0.058607880026102066,0.041216034442186356,,,,
38,1409,,,0.05460452288389206,,,,,,
38,1419,,,0.05903295800089836,,,,,,
38,1429,,,0.0565161257982254,,,,,,
38,1439,,,0.053544558584690094,,,,,,
38,1442,0.5740517973899841,0.008756361901760101,,0.05800127238035202,0.044122859835624695,,,,
