epoch,step,train_loss,val_auc,val_f1,val_loss,val_map
0,282,0.08277345448732376,,,,
1,565,0.05781826749444008,,,,
2,848,0.0569118857383728,,,,
3,1131,0.055395256727933884,,,,
4,1414,0.05369188264012337,,,,
5,1697,0.053217630833387375,,,,
6,1980,0.05300726741552353,,,,
7,2263,0.05267159268260002,,,,
8,2546,0.052644409239292145,,,,
9,2829,,0.3333950936794281,0.006854779087007046,0.0507642887532711,0.07400301843881607
9,2829,0.05250667780637741,,,,
10,3112,0.052346233278512955,,,,
11,3395,0.0520823709666729,,,,
12,3678,0.05198473855853081,,,,
13,3961,0.05176277458667755,,,,
14,4244,0.05167889967560768,,,,
15,4527,0.05155454948544502,,,,
16,4810,0.05148744583129883,,,,
17,5093,0.05149303749203682,,,,
18,5376,0.051221590489149094,,,,
19,5659,,0.3449881672859192,0.008785728365182877,0.04977937787771225,0.08660640567541122
19,5659,0.05138612538576126,,,,
20,5942,0.05107178911566734,,,,
21,6225,0.05085119232535362,,,,
22,6508,0.05078543350100517,,,,
23,6791,0.050622645765542984,,,,
24,7074,0.0506305955350399,,,,
25,7357,0.05038771778345108,,,,
26,7640,0.05042634159326553,,,,
27,7923,0.050468724220991135,,,,
28,8206,0.0502018965780735,,,,
29,8489,,0.3502408564090729,0.008819177746772766,0.04878147318959236,0.09338395297527313
29,8489,0.050327401608228683,,,,
30,8772,0.05033152177929878,,,,
31,9055,0.05018545687198639,,,,
32,9338,0.050180282443761826,,,,
33,9621,0.050190553069114685,,,,
34,9904,0.05011400580406189,,,,
35,10187,0.05012845620512962,,,,
36,10470,0.050063349306583405,,,,
37,10753,0.04993712902069092,,,,
38,11036,0.049917373806238174,,,,
39,11319,,0.3533106744289398,0.008756261318922043,0.04846945405006409,0.09765417873859406
39,11319,0.050096508115530014,,,,
40,11602,0.050070229917764664,,,,
41,11885,0.04988415166735649,,,,
42,12168,0.04992569237947464,,,,
43,12451,0.04977370426058769,,,,
44,12734,0.04991709813475609,,,,
45,13017,0.04980964958667755,,,,
46,13300,0.04975719004869461,,,,
