dino_loss,dino_loss_epoch,epoch,step
5.529821872711182,,0,9
5.521428108215332,,0,19
5.512057781219482,,0,29
5.494618892669678,,0,39
5.471596717834473,,0,49
5.455984592437744,,0,59
5.393216609954834,,0,69
5.331427097320557,,0,79
5.303958415985107,,0,89
5.243978023529053,,0,99
5.18424654006958,,0,109
5.10150146484375,,0,119
5.051486492156982,,0,129
4.938415050506592,,0,139
4.930298805236816,,0,149
4.893054008483887,,0,159
4.876741886138916,,0,169
4.819576263427734,,0,179
4.762317180633545,,0,189
4.690039157867432,,0,199
4.675997257232666,,0,209
4.6875529289245605,,0,219
4.644425392150879,,0,229
4.6264472007751465,,0,239
4.618465423583984,,0,249
4.643451690673828,,0,259
4.647122859954834,,0,269
4.598887920379639,,0,279
4.582993507385254,,0,289
4.631415843963623,,0,299
4.5976786613464355,,0,309
4.602597713470459,,0,319
4.5657453536987305,,0,329
,4.942536354064941,0,331
4.571927547454834,,1,339
4.591105937957764,,1,349
4.568402290344238,,1,359
4.544798374176025,,1,369
4.541070461273193,,1,379
4.5393595695495605,,1,389
4.544281005859375,,1,399
4.5405497550964355,,1,409
4.509363174438477,,1,419
4.507609844207764,,1,429
4.490153789520264,,1,439
4.477454662322998,,1,449
4.445549011230469,,1,459
4.428164958953857,,1,469
4.414077281951904,,1,479
4.425829887390137,,1,489
4.384474277496338,,1,499
4.367237091064453,,1,509
4.339122295379639,,1,519
4.335961818695068,,1,529
4.3101630210876465,,1,539
4.33146858215332,,1,549
4.292716026306152,,1,559
4.305091381072998,,1,569
4.289672374725342,,1,579
4.299655437469482,,1,589
4.272108554840088,,1,599
4.276004314422607,,1,609
4.257224082946777,,1,619
4.247470855712891,,1,629
4.240562438964844,,1,639
4.239604473114014,,1,649
4.244495868682861,,1,659
,4.393551826477051,1,663
4.24261999130249,,2,669
4.230812072753906,,2,679
4.231175422668457,,2,689
4.204294204711914,,2,699
4.226726531982422,,2,709
4.191625118255615,,2,719
4.191666603088379,,2,729
4.205227375030518,,2,739
4.204888343811035,,2,749
4.187382221221924,,2,759
4.166435241699219,,2,769
4.185351371765137,,2,779
4.162524700164795,,2,789
4.1606950759887695,,2,799
4.171259880065918,,2,809
4.146617412567139,,2,819
4.177169322967529,,2,829
4.146161079406738,,2,839
4.150826930999756,,2,849
4.160304069519043,,2,859
