epoch,step,train_auc_eval,train_f1_eval,train_loss,train_loss_eval,train_map_eval,weight_norm/fc.0.bias,weight_norm/fc.0.weight,weight_norm/fc.3.bias,weight_norm/fc.3.weight,weight_norm/gru.bias_hh_l0,weight_norm/gru.bias_ih_l0,weight_norm/gru.weight_hh_l0,weight_norm/gru.weight_ih_l0
0,0,0.4995281994342804,0.018812132999300957,,19.343346895181398,0.015278331935405731,,,,,,,,
0,0,,,,,,0.39123040437698364,6.5458903312683105,0.6544415950775146,8.193376541137695,0.9829351305961609,1.0208402872085571,15.989045143127441,27.722148895263672
0,0,,,,,,,,,,,,,
0,9,,,19.323787689208984,,,,,,,,,,
0,19,,,6.958406925201416,,,,,,,,,,
0,29,,,6.736669540405273,,,,,,,,,,
0,39,,,6.818855285644531,,,,,,,,,,
0,49,,,6.75669527053833,,,,,,,,,,
0,59,,,6.714510440826416,,,,,,,,,,
0,69,,,6.776731014251709,,,,,,,,,,
0,79,,,6.637421607971191,,,,,,,,,,
0,89,,,6.936686992645264,,,,,,,,,,
0,99,,,6.804593563079834,,,,,,,,,,
0,109,,,6.781962871551514,,,,,,,,,,
0,119,,,6.760983943939209,,,,,,,,,,
0,129,,,6.9157538414001465,,,,,,,,,,
0,139,,,6.727713584899902,,,,,,,,,,
