epoch,step,train_auc_eval,train_f1_eval,train_loss,train_loss_eval,train_map_eval
0,0,0.49303698539733887,0.017194058746099472,,0.6973906489739935,0.015467055141925812
0,99,,,0.6971988677978516,,
