epoch,step,total_grad_norm,total_weight_norm,train_auc_eval,train_f1_eval,train_loss,train_loss_epoch,train_loss_eval,train_map_eval,val_auc,val_auc_eval,val_f1,val_f1_eval,val_loss,val_loss_eval,val_map,val_map_eval
0,0,,,0.4828397333621979,0.017586369067430496,,,37.23168273212046,0.015017782337963581,,0.4765819311141968,,0.017151912674307823,,37.22915114675249,,0.016805440187454224
0,9,,,,,34.671085357666016,,,,,,,,,,,
0,19,,,,,29.621734619140625,,,,,,,,,,,
0,29,,,,,27.497488021850586,,,,,,,,,,,
0,39,,,,,25.743488311767578,,,,,,,,,,,
0,49,,,,,24.75452423095703,,,,,,,,,,,
0,59,,,,,23.759185791015625,,,,,,,,,,,
0,69,,,,,22.86593246459961,,,,,,,,,,,
0,79,,,,,22.305343627929688,,,,,,,,,,,
0,89,,,,,21.932592391967773,,,,,,,,,,,
0,99,,,,,21.470073699951172,,,,,,,,,,,
0,109,,,,,21.280746459960938,,,,,,,,,,,
0,119,,,,,20.863080978393555,,,,,,,,,,,
0,129,,,,,20.645456314086914,,,,,,,,,,,
0,139,,,,,20.397720336914062,,,,,,,,,,,
0,0,16.504125089165953,90.37371797141272,,,,,,,,,,,,,,
0,141,,,,,,24.14068603515625,,,,,,,,,,
1,149,,,,,19.81075668334961,,,,,,,,,,,
1,159,,,,,19.6954288482666,,,,,,,,,,,
1,169,,,,,19.43620491027832,,,,,,,,,,,
1,179,,,,,19.344161987304688,,,,,,,,,,,
1,189,,,,,18.92051887512207,,,,,,,,,,,
1,199,,,,,18.514921188354492,,,,,,,,,,,
1,209,,,,,18.629417419433594,,,,,,,,,,,
1,219,,,,,18.348623275756836,,,,,,,,,,,
1,229,,,,,18.029104232788086,,,,,,,,,,,
1,239,,,,,18.042133331298828,,,,,,,,,,,
1,249,,,,,17.900468826293945,,,,,,,,,,,
1,259,,,,,17.53635597229004,,,,,,,,,,,
1,269,,,,,17.281641006469727,,,,,,,,,,,
1,279,,,,,17.103912353515625,,,,,,,,,,,
