epoch,step,total_grad_norm,total_weight_norm,train_auc_eval,train_f1_eval,train_loss,train_loss_epoch,train_loss_eval,train_map_eval,val_auc,val_auc_eval,val_f1,val_f1_eval,val_loss,val_loss_eval,val_map,val_map_eval
0,0,,,0.4974326193332672,0.01602461189031601,,,37.66949254447564,0.015219504944980145,,0.4929700493812561,,0.015072917565703392,,37.696506271556935,,0.01695449836552143
0,9,,,,,38.81275939941406,,,,,,,,,,,
0,19,,,,,21.259891510009766,,,,,,,,,,,
0,29,,,,,18.324033737182617,,,,,,,,,,,
0,39,,,,,16.016176223754883,,,,,,,,,,,
0,49,,,,,14.549989700317383,,,,,,,,,,,
0,59,,,,,12.826486587524414,,,,,,,,,,,
0,69,,,,,11.636430740356445,,,,,,,,,,,
0,79,,,,,10.458908081054688,,,,,,,,,,,
0,89,,,,,9.30567741394043,,,,,,,,,,,
0,99,,,,,8.53999137878418,,,,,,,,,,,
0,109,,,,,7.578485488891602,,,,,,,,,,,
0,119,,,,,7.116960525512695,,,,,,,,,,,
0,129,,,,,6.660845756530762,,,,,,,,,,,
0,139,,,,,6.174384117126465,,,,,,,,,,,
0,149,,,,,6.11879825592041,,,,,,,,,,,
0,159,,,,,5.888770580291748,,,,,,,,,,,
0,169,,,,,5.614214897155762,,,,,,,,,,,
0,179,,,,,5.810945987701416,,,,,,,,,,,
0,189,,,,,5.15833854675293,,,,,,,,,,,
0,199,,,,,4.979368686676025,,,,,,,,,,,
0,209,,,,,5.024036884307861,,,,,,,,,,,
0,219,,,,,4.9909138679504395,,,,,,,,,,,
0,229,,,,,4.629323482513428,,,,,,,,,,,
0,239,,,,,4.696134090423584,,,,,,,,,,,
0,249,,,,,4.800632476806641,,,,,,,,,,,
0,259,,,,,4.710282325744629,,,,,,,,,,,
0,269,,,,,4.62514591217041,,,,,,,,,,,
0,279,,,,,4.737062454223633,,,,,,,,,,,
0,0,5.836457089802358,73.27910428030721,,,,,,,,,,,,,,
0,282,,,,,,8.586181640625,,,,,,,,,,
1,289,,,,,4.678136348724365,,,,,,,,,,,
1,299,,,,,4.413550853729248,,,,,,,,,,,
1,309,,,,,4.817846775054932,,,,,,,,,,,
1,319,,,,,4.40193510055542,,,,,,,,,,,
1,329,,,,,4.3450775146484375,,,,,,,,,,,
1,339,,,,,4.2676920890808105,,,,,,,,,,,
1,349,,,,,4.444119930267334,,,,,,,,,,,
1,359,,,,,4.404877662658691,,,,,,,,,,,
1,369,,,,,4.143038272857666,,,,,,,,,,,
1,379,,,,,4.215807914733887,,,,,,,,,,,
1,389,,,,,4.334077835083008,,,,,,,,,,,
1,399,,,,,4.5002946853637695,,,,,,,,,,,
1,409,,,,,4.348745346069336,,,,,,,,,,,
1,419,,,,,4.465194225311279,,,,,,,,,,,
1,429,,,,,4.495753288269043,,,,,,,,,,,
1,439,,,,,4.067325115203857,,,,,,,,,,,
1,449,,,,,4.458311080932617,,,,,,,,,,,
1,459,,,,,4.312865734100342,,,,,,,,,,,
1,469,,,,,4.222432613372803,,,,,,,,,,,
1,479,,,,,4.093583106994629,,,,,,,,,,,
1,489,,,,,4.008410453796387,,,,,,,,,,,
1,499,,,,,4.245584011077881,,,,,,,,,,,
1,509,,,,,3.8361151218414307,,,,,,,,,,,
1,519,,,,,4.27617073059082,,,,,,,,,,,
1,529,,,,,4.313253879547119,,,,,,,,,,,
1,539,,,,,3.8430473804473877,,,,,,,,,,,
1,549,,,,,4.437699317932129,,,,,,,,,,,
1,559,,,,,4.499880313873291,,,,,,,,,,,
1,1,1.9396826405347583,73.5801941246477,,,,,,,,,,,,,,
1,565,,,,,,4.231815814971924,,,,,,,,,,
2,569,,,,,3.9666948318481445,,,,,,,,,,,
2,579,,,,,4.0877485275268555,,,,,,,,,,,
2,589,,,,,4.130316257476807,,,,,,,,,,,
2,599,,,,,4.149211406707764,,,,,,,,,,,
2,609,,,,,4.235673427581787,,,,,,,,,,,
2,619,,,,,4.07088565826416,,,,,,,,,,,
2,629,,,,,3.848623037338257,,,,,,,,,,,
2,639,,,,,3.7173473834991455,,,,,,,,,,,
2,649,,,,,3.92925763130188,,,,,,,,,,,
2,659,,,,,3.9031436443328857,,,,,,,,,,,
2,669,,,,,4.192739486694336,,,,,,,,,,,
2,679,,,,,4.101423263549805,,,,,,,,,,,
2,689,,,,,4.161929607391357,,,,,,,,,,,
2,699,,,,,4.034872531890869,,,,,,,,,,,
2,709,,,,,3.7156426906585693,,,,,,,,,,,
2,719,,,,,4.103013515472412,,,,,,,,,,,
2,729,,,,,3.9782066345214844,,,,,,,,,,,
2,739,,,,,3.7426888942718506,,,,,,,,,,,
2,749,,,,,3.82407808303833,,,,,,,,,,,
2,759,,,,,4.015192985534668,,,,,,,,,,,
2,769,,,,,3.753298759460449,,,,,,,,,,,
2,779,,,,,4.047219276428223,,,,,,,,,,,
2,789,,,,,3.852928876876831,,,,,,,,,,,
