epoch,step,train_auc_eval,train_f1_eval,train_loss,train_loss_epoch,train_loss_eval,train_map_eval
0,0,0.5003389120101929,0.017832577228546143,,,0.6932560716428966,0.014281579293310642
0,99,,,0.6935059428215027,,,
0,199,,,0.06942758709192276,,,
0,299,,,0.05997149646282196,,,
0,399,,,0.06239555776119232,,,
0,499,,,0.062152277678251266,,,
0,599,,,0.05664706602692604,,,
0,699,,,0.06044773757457733,,,
0,799,,,0.061273712664842606,,,
0,881,,,,0.06595876812934875,,
1,899,,,0.06127043068408966,,,
1,999,,,0.05286124721169472,,,
1,1099,,,0.050829626619815826,,,
1,1199,,,0.06064137443900108,,,
1,1299,,,0.057697564363479614,,,
