dino_loss,epoch,ibot_loss,koleo_loss,step,total_loss,total_loss_epoch
5.5319719314575195,0,5.5324177742004395,-0.24942192435264587,9,11.054412841796875,
5.529381275177002,0,5.5250468254089355,-0.24535885453224182,19,11.0446138381958,
5.527352809906006,0,5.523829936981201,-0.24889947474002838,29,11.041226387023926,
5.520259857177734,0,5.520559787750244,-0.2851927578449249,39,11.029411315917969,
5.516448497772217,0,5.509213447570801,-0.26392486691474915,49,11.015104293823242,
5.507715225219727,0,5.500925540924072,-0.2527814507484436,59,10.998529434204102,
5.482797622680664,0,5.48224401473999,-0.18923154473304749,69,10.957472801208496,
5.471813678741455,0,5.466855525970459,-0.14154469966888428,79,10.93300724029541,
5.4470343589782715,0,5.4398193359375,-0.1986013799905777,89,10.878910064697266,
5.480796813964844,0,5.43295431137085,-0.18033094704151154,99,10.906538009643555,
5.390552043914795,0,5.396682262420654,-0.1325906217098236,109,10.781930923461914,
5.411531925201416,0,5.381173133850098,-0.10791043192148209,119,10.788389205932617,
5.349876403808594,0,5.356515407562256,-0.07228744775056839,129,10.703500747680664,
5.295605659484863,0,5.292800426483154,-0.0492267943918705,139,10.58643627166748,
5.22867488861084,0,5.275050163269043,-0.06330391764640808,149,10.501193046569824,
5.2099690437316895,0,5.244589328765869,0.02137015573680401,159,10.455412864685059,
5.142096042633057,0,5.179458141326904,0.09828511625528336,169,10.325485229492188,
5.141048908233643,0,5.177302837371826,-0.007896537892520428,179,10.318036079406738,
5.082398414611816,0,5.139263153076172,0.056756641715765,189,10.223932266235352,
5.034488677978516,0,5.1102213859558105,0.1401158571243286,199,10.150315284729004,
5.00723934173584,0,5.064782619476318,0.11236506700515747,209,10.076516151428223,
4.984409332275391,0,5.014105796813965,0.1258811056613922,219,10.00355052947998,
4.877561569213867,0,5.013526439666748,0.21673618257045746,229,9.899758338928223,
4.846909523010254,0,4.97059965133667,0.2617478370666504,239,9.827978134155273,
4.828764915466309,0,4.959944248199463,0.27613767981529236,249,9.799755096435547,
4.879874229431152,0,4.939243793487549,0.28946271538734436,259,9.830697059631348,
4.829947471618652,0,4.917026042938232,0.3144793212413788,269,9.759552001953125,
4.729677200317383,0,4.917306900024414,0.4284835159778595,279,9.66412353515625,
4.685914993286133,0,4.886566162109375,0.40575242042541504,289,9.58871078491211,
4.697662830352783,0,4.847994804382324,0.681466817855835,299,9.572916984558105,
4.6017351150512695,0,4.85174560546875,0.6442034244537354,309,9.479249000549316,
4.603458404541016,0,4.83823823928833,0.6514922380447388,319,9.467756271362305,
4.581429958343506,0,4.815028667449951,0.6999099254608154,329,9.424454689025879,
4.542492866516113,0,4.804128646850586,0.795786440372467,339,9.378453254699707,
4.567182540893555,0,4.798272132873535,0.6856023669242859,349,9.392878532409668,
4.562273979187012,0,4.791601657867432,0.8123799562454224,359,9.386371612548828,
4.521397590637207,0,4.765134334564209,0.8542595505714417,369,9.320701599121094,
4.495324611663818,0,4.776448726654053,0.9193195700645447,379,9.30854606628418,
4.535340309143066,0,4.773133754730225,0.8692206144332886,389,9.343242645263672,
4.448936462402344,0,4.734255313873291,1.0555635690689087,399,9.225414276123047,
4.450246810913086,0,4.728760242462158,1.100419282913208,409,9.223023414611816,
4.476350784301758,0,4.754351615905762,0.9724751710891724,419,9.269601821899414,
4.494900226593018,0,4.734128952026367,1.008309006690979,429,9.26936149597168,
4.483561038970947,0,4.710769176483154,1.0644912719726562,439,9.236909866333008,
4.437064170837402,0,4.703840255737305,0.9930374622344971,449,9.180625915527344,
4.371786117553711,0,4.693819046020508,1.1848806142807007,459,9.11299991607666,
4.381621360778809,0,4.688849925994873,1.1065152883529663,469,9.114731788635254,
4.397787094116211,0,4.6702351570129395,1.0102654695510864,479,9.10843276977539,
4.394134521484375,0,4.670688152313232,1.1266088485717773,489,9.10988712310791,
4.367585182189941,0,4.677657604217529,1.1406038999557495,499,9.090866088867188,
4.371739387512207,0,4.644018173217773,1.131515383720398,509,9.061017990112305,
4.410239219665527,0,4.66042947769165,1.1435356140136719,519,9.116410255432129,
4.501257419586182,0,4.660933494567871,1.0831574201583862,529,9.205517768859863,
4.411801338195801,0,4.626584053039551,1.0005179643630981,539,9.07840633392334,
4.4149699211120605,0,4.651546955108643,1.1343708038330078,549,9.111891746520996,
4.354659080505371,0,4.619958877563477,1.1647552251815796,559,9.021207809448242,
4.338829517364502,0,4.620915412902832,1.1294864416122437,569,9.004924774169922,
4.3539228439331055,0,4.613925457000732,1.1180990934371948,579,9.012571334838867,
4.325843811035156,0,4.615155220031738,1.0862981081008911,589,8.984451293945312,
4.337187767028809,0,4.607118129730225,1.187476396560669,599,8.991804122924805,
4.388245582580566,0,4.616056442260742,1.049027681350708,609,9.046262741088867,
4.341062545776367,0,4.619002342224121,1.138867974281311,619,9.005620002746582,
4.330764293670654,0,4.59893274307251,1.1680740118026733,629,8.976420402526855,
4.303615093231201,0,4.6231794357299805,1.0671401023864746,639,8.96947956085205,
4.307604789733887,0,4.581704616546631,1.1406159400939941,649,8.93493366241455,
4.281072616577148,0,4.593020915985107,1.2104196548461914,659,8.922511100769043,
4.2934088706970215,0,4.582286834716797,1.157148003578186,669,8.921981811523438,
4.3021674156188965,0,4.5871686935424805,1.190192699432373,679,8.936943054199219,
4.289679527282715,0,4.5652756690979,1.2568864822387695,689,8.905231475830078,
4.2967729568481445,0,4.553560256958008,1.2402420043945312,699,8.899943351745605,
4.270016670227051,0,4.556619644165039,1.1623103618621826,709,8.873128890991211,
4.274990081787109,0,4.559835433959961,1.089700698852539,719,8.878413200378418,
4.2728166580200195,0,4.5682902336120605,1.1597174406051636,729,8.887495040893555,
4.260725021362305,0,4.536268711090088,1.1639069318771362,739,8.843549728393555,
4.227934837341309,0,4.532158851623535,1.2269213199615479,749,8.809170722961426,
4.279504776000977,0,4.557677268981934,1.1947685480117798,759,8.88497257232666,
4.232030868530273,0,4.558154106140137,1.2931069135665894,769,8.841909408569336,
4.293331146240234,0,4.524017333984375,1.2611578702926636,779,8.86779499053955,
4.3027472496032715,0,4.547555446624756,1.2270143032073975,789,8.899383544921875,
4.237457752227783,0,4.5366926193237305,1.2613372802734375,799,8.824604034423828,
4.312177658081055,0,4.555810928344727,1.1787302494049072,809,8.915138244628906,
4.236107349395752,0,4.561124324798584,1.2220853567123413,819,8.846115112304688,
4.268398761749268,0,4.542333602905273,1.2517646551132202,829,8.86080265045166,
4.222851276397705,0,4.559056758880615,1.2234777212142944,839,8.830846786499023,
