epoch,step,train_auc_eval,train_f1_eval,train_loss,train_loss_eval,train_map_eval
0,0,0.48710399866104126,0.015622038394212723,,0.6969535276452166,0.015423644334077835
0,99,,,0.6970071196556091,,
