epoch,step,train_auc_eval,train_f1_eval,train_loss,train_loss_eval,train_map_eval,val_auc,val_f1,val_loss,val_map
,0,0.5007247924804688,0.014824219048023224,,0.6925175034095851,0.015220677480101585,,,,
0,282,,,0.07969285547733307,,,,,,
1,565,,,0.057248931378126144,,,,,,
2,848,,,0.05607309937477112,,,,,,
3,1131,,,0.05383274704217911,,,,,,
4,1414,,,0.05294480174779892,,,,,,
5,1697,,,0.052552297711372375,,,,,,
6,1980,,,0.05222930759191513,,,,,,
7,2263,,,0.052045997232198715,,,,,,
8,2546,,,0.051753703504800797,,,,,,
,2830,0.7549355030059814,0.00695971492677927,,0.05109534376188004,0.040014393627643585,,,,
9,2829,,,,,,0.33645766973495483,0.006983788684010506,0.05039074644446373,0.07749747484922409
9,2829,,,0.0516328364610672,,,,,,
10,3112,,,0.05168091878294945,,,,,,
11,3395,,,0.05142413452267647,,,,,,
12,3678,,,0.051399871706962585,,,,,,
13,3961,,,0.05115145444869995,,,,,,
14,4244,,,0.0511753186583519,,,,,,
15,4527,,,0.05116532742977142,,,,,,
16,4810,,,0.050852324813604355,,,,,,
17,5093,,,0.050818320363759995,,,,,,
18,5376,,,0.05056140944361687,,,,,,
,5660,0.7738444209098816,0.008487889543175697,,0.04993406702215836,0.04724021628499031,,,,
19,5659,,,,,,0.34725573658943176,0.008540206588804722,0.04911499097943306,0.0883873999118805
19,5659,,,0.05042126029729843,,,,,,
20,5942,,,0.050269268453121185,,,,,,
21,6225,,,0.050128284841775894,,,,,,
22,6508,,,0.05002538859844208,,,,,,
23,6791,,,0.04992209002375603,,,,,,
24,7074,,,0.050065603107213974,,,,,,
25,7357,,,0.049836575984954834,,,,,,
26,7640,,,0.049690499901771545,,,,,,
27,7923,,,0.049793791025877,,,,,,
28,8206,,,0.049689918756484985,,,,,,
,8490,0.78995281457901,0.01380207296460867,,0.04901282465538177,0.0532025508582592,,,,
29,8489,,,,,,0.354036420583725,0.013904139399528503,0.048426564782857895,0.10128700733184814
29,8489,,,0.04955286532640457,,,,,,
30,8772,,,0.04959099367260933,,,,,,
31,9055,,,0.04934161156415939,,,,,,
32,9338,,,0.04953741654753685,,,,,,
33,9621,,,0.04939563572406769,,,,,,
34,9904,,,0.049436405301094055,,,,,,
35,10187,,,0.049300238490104675,,,,,,
36,10470,,,0.049414802342653275,,,,,,
37,10753,,,0.049383390694856644,,,,,,
38,11036,,,0.04927812144160271,,,,,,
,11320,0.7984512448310852,0.009253563359379768,,0.04879619818230963,0.05504075810313225,,,,
39,11319,,,,,,0.3572428226470947,0.009247314184904099,0.04814121499657631,0.10015671700239182
39,11319,,,0.04907393828034401,,,,,,
40,11602,,,0.04932181164622307,,,,,,
41,11885,,,0.04909057170152664,,,,,,
42,12168,,,0.04926082119345665,,,,,,
43,12451,,,0.04921763762831688,,,,,,
44,12734,,,0.049332376569509506,,,,,,
45,13017,,,0.04907162860035896,,,,,,
46,13300,,,0.04911429435014725,,,,,,
47,13583,,,0.04912688583135605,,,,,,
48,13866,,,0.04910232499241829,,,,,,
,14150,0.7907490134239197,0.011194257996976376,,0.04906046054438865,0.05469527095556259,,,,
49,14149,,,,,,0.35233941674232483,0.011098564602434635,0.048448726534843445,0.09995871037244797
49,14149,,,0.04898443445563316,,,,,,
50,14432,,,0.049115829169750214,,,,,,
51,14715,,,0.048991475254297256,,,,,,
52,14998,,,0.049193721264600754,,,,,,
53,15281,,,0.049026187509298325,,,,,,
54,15564,,,0.04898146539926529,,,,,,
55,15847,,,0.04890236258506775,,,,,,
56,16130,,,0.04911183938384056,,,,,,
57,16413,,,0.04913704842329025,,,,,,
58,16696,,,0.04903646931052208,,,,,,
,16980,0.7988946437835693,0.009811907075345516,,0.04910961309649858,0.056098572909832,,,,
59,16979,,,,,,0.35548388957977295,0.009800559841096401,0.048621054738759995,0.10125280916690826
59,16979,,,0.048905812203884125,,,,,,
60,17262,,,0.04911555349826813,,,,,,
61,17545,,,0.04893668740987778,,,,,,
62,17828,,,0.04901581257581711,,,,,,
63,18111,,,0.04902288690209389,,,,,,
64,18394,,,0.04888072609901428,,,,,,
65,18677,,,0.04900738224387169,,,,,,
