asit_loss,asit_loss_epoch,cls_loss,cls_loss_epoch,epoch,patch_loss,patch_loss_epoch,step
11.051776885986328,,5.536045551300049,,0,5.515731334686279,,9
11.064661979675293,,5.538479328155518,,0,5.526182651519775,,19
11.078422546386719,,5.539971351623535,,0,5.538451194763184,,29
11.082650184631348,,5.539722442626953,,0,5.5429277420043945,,39
11.080606460571289,,5.535988807678223,,0,5.544617652893066,,49
11.076175689697266,,5.5310564041137695,,0,5.545119762420654,,59
11.076841354370117,,5.531557083129883,,0,5.545284271240234,,69
11.07839298248291,,5.533073425292969,,0,5.545319557189941,,79
11.074350357055664,,5.529236793518066,,0,5.5451130867004395,,89
11.067327499389648,,5.522800922393799,,0,5.54452657699585,,99
11.061429977416992,,5.5171356201171875,,0,5.544294834136963,,109
11.060283660888672,,5.516202926635742,,0,5.544081211090088,,119
11.051614761352539,,5.50791072845459,,0,5.543704509735107,,129
11.056038856506348,,5.513348579406738,,0,5.542690277099609,,139
11.04237174987793,,5.50091552734375,,0,5.541456699371338,,149
11.037397384643555,,5.496419906616211,,0,5.540977478027344,,159
11.023847579956055,,5.4826154708862305,,0,5.541231632232666,,169
11.018026351928711,,5.47845458984375,,0,5.539571762084961,,179
11.008759498596191,,5.4692463874816895,,0,5.539513111114502,,189
11.01829719543457,,5.479442119598389,,0,5.538854598999023,,199
10.977596282958984,,5.438148498535156,,0,5.53944730758667,,209
10.962388038635254,,5.424528121948242,,0,5.537859916687012,,219
10.930830001831055,,5.3934478759765625,,0,5.537382125854492,,229
10.991133689880371,,5.452822685241699,,0,5.538311004638672,,239
10.93020248413086,,5.3939313888549805,,0,5.536271572113037,,249
10.896270751953125,,5.361695766448975,,0,5.534575462341309,,259
10.874826431274414,,5.341484546661377,,0,5.533341407775879,,269
10.856754302978516,,5.324504852294922,,0,5.5322489738464355,,279
10.836934089660645,,5.3060407638549805,,0,5.530893325805664,,289
10.799570083618164,,5.268486022949219,,0,5.531083583831787,,299
10.792797088623047,,5.261384963989258,,0,5.531412124633789,,309
10.839864730834961,,5.3102312088012695,,0,5.52963399887085,,319
10.741686820983887,,5.223483562469482,,0,5.518203258514404,,329
10.771329879760742,,5.250619411468506,,0,5.5207109451293945,,339
10.741897583007812,,5.224109649658203,,0,5.517787933349609,,349
10.740900993347168,,5.2176947593688965,,0,5.5232062339782715,,359
10.652353286743164,,5.134814262390137,,0,5.517539024353027,,369
