epoch,step,train_loss,val_auc,val_f1,val_loss,val_map
0,156,0.0990101620554924,,,,
1,313,0.05938827246427536,,,,
2,470,0.05806589871644974,,,,
3,627,0.057335060089826584,,,,
4,784,0.05690106377005577,,,,
5,941,0.05660184100270271,,,,
6,1098,0.055606842041015625,,,,
7,1255,0.0542166605591774,,,,
8,1412,0.05353967100381851,,,,
9,1569,,0.33106863498687744,0.006554096005856991,0.052290454506874084,0.07236062735319138
9,1569,0.05320671200752258,,,,
10,1726,0.05310230702161789,,,,
11,1883,0.05275883898139,,,,
12,2040,0.05268719419836998,,,,
13,2197,0.05263885110616684,,,,
14,2354,0.05230914428830147,,,,
15,2511,0.05233369767665863,,,,
16,2668,0.0521826297044754,,,,
17,2825,0.05196671932935715,,,,
18,2982,0.051937125623226166,,,,
19,3139,,0.3363252878189087,0.005787542089819908,0.05120269954204559,0.07557173818349838
19,3139,0.05198545753955841,,,,
20,3296,0.05196034163236618,,,,
21,3453,0.051658302545547485,,,,
22,3610,0.05172434821724892,,,,
23,3767,0.051495227962732315,,,,
24,3924,0.051661401987075806,,,,
25,4081,0.05168455094099045,,,,
26,4238,0.05159713700413704,,,,
27,4395,0.05151146277785301,,,,
28,4552,0.05142604187130928,,,,
29,4709,,0.3424903154373169,0.00830678641796112,0.05020446702837944,0.07915332913398743
29,4709,0.051507506519556046,,,,
30,4866,0.05151577293872833,,,,
31,5023,0.05115170031785965,,,,
32,5180,0.05114993080496788,,,,
33,5337,0.051288869231939316,,,,
34,5494,0.05121927335858345,,,,
35,5651,0.0514892153441906,,,,
36,5808,0.05119689553976059,,,,
37,5965,0.05108214169740677,,,,
38,6122,0.051043909043073654,,,,
39,6279,,0.3445708155632019,0.00842004083096981,0.05025343596935272,0.08343414217233658
39,6279,0.05099112167954445,,,,
40,6436,0.0508403517305851,,,,
41,6593,0.05094891041517258,,,,
42,6750,0.050757940858602524,,,,
43,6907,0.05064334720373154,,,,
44,7064,0.05042445287108421,,,,
45,7221,0.0503949299454689,,,,
46,7378,0.05047478526830673,,,,
47,7535,0.05038108676671982,,,,
48,7692,0.05028998851776123,,,,
49,7849,,0.3537951409816742,0.009699719026684761,0.049069784581661224,0.09377847611904144
49,7849,0.05013909563422203,,,,
50,8006,0.050135787576436996,,,,
51,8163,0.05001278966665268,,,,
52,8320,0.05005941167473793,,,,
53,8477,0.050086718052625656,,,,
54,8634,0.04993268847465515,,,,
55,8791,0.049850184470415115,,,,
56,8948,0.04993758350610733,,,,
57,9105,0.04975394904613495,,,,
58,9262,0.04986933618783951,,,,
59,9419,,0.3549170196056366,0.010278286412358284,0.04916316270828247,0.0953979343175888
59,9419,0.04973462224006653,,,,
60,9576,0.04969021677970886,,,,
61,9733,0.04965324327349663,,,,
62,9890,0.0499008484184742,,,,
63,10047,0.04957649111747742,,,,
64,10204,0.04964640736579895,,,,
65,10361,0.049821846187114716,,,,
66,10518,0.04953134059906006,,,,
67,10675,0.049771249294281006,,,,
68,10832,0.0496290847659111,,,,
69,10989,,0.355987548828125,0.013583961874246597,0.0491022989153862,0.09767306596040726
69,10989,0.04946567490696907,,,,
70,11146,0.049523599445819855,,,,
71,11303,0.04949406534433365,,,,
72,11460,0.049521561712026596,,,,
73,11617,0.049627885222435,,,,
74,11774,0.049544718116521835,,,,
75,11931,0.04939210042357445,,,,
76,12088,0.04935377463698387,,,,
77,12245,0.04943383112549782,,,,
78,12402,0.04919922351837158,,,,
79,12559,,0.35846036672592163,0.012978959828615189,0.048437539488077164,0.10140372067689896
79,12559,0.04940933734178543,,,,
80,12716,0.04960610345005989,,,,
81,12873,0.049589745700359344,,,,
82,13030,0.04938425496220589,,,,
83,13187,0.0492703840136528,,,,
84,13344,0.049406323581933975,,,,
85,13501,0.0495092011988163,,,,
86,13658,0.04911700263619423,,,,
87,13815,0.049113139510154724,,,,
88,13972,0.04920406639575958,,,,
89,14129,,0.3566761314868927,0.013541460037231445,0.048859838396310806,0.09866262972354889
89,14129,0.04922952130436897,,,,
90,14286,0.04905441030859947,,,,
91,14443,0.049220867455005646,,,,
92,14600,0.049313802272081375,,,,
93,14757,0.04954727366566658,,,,
94,14914,0.049185145646333694,,,,
95,15071,0.04930424690246582,,,,
96,15228,0.049303289502859116,,,,
97,15385,0.04923513904213905,,,,
98,15542,0.04918893799185753,,,,
99,15699,,0.35839101672172546,0.012179769575595856,0.04916190728545189,0.10174202173948288
99,15699,0.04912373051047325,,,,
