epoch,step,train_auc_eval,train_f1_eval,train_loss,train_loss_epoch,train_loss_eval,train_map_eval,weight_norm/fc.0.bias,weight_norm/fc.0.weight,weight_norm/fc.3.bias,weight_norm/fc.3.weight,weight_norm/gru.bias_hh_l0,weight_norm/gru.bias_ih_l0,weight_norm/gru.weight_hh_l0,weight_norm/gru.weight_ih_l0
0,0,0.49453073740005493,0.0148965148255229,,,0.6949995661947763,0.013913695700466633,,,,,,,,
0,0,,,,,,,0.39542916417121887,6.585739612579346,0.6973494291305542,8.180559158325195,0.988078236579895,1.0027142763137817,16.006999969482422,27.712547302246094
0,0,,,,,,,,,,,,,,
0,9,,,0.6951047778129578,,,,,,,,,,,
0,19,,,0.0720578134059906,,,,,,,,,,,
0,29,,,0.06175481528043747,,,,,,,,,,,
0,39,,,0.061910275369882584,,,,,,,,,,,
0,49,,,0.057287536561489105,,,,,,,,,,,
0,59,,,0.057407982647418976,,,,,,,,,,,
0,69,,,0.0618620328605175,,,,,,,,,,,
0,79,,,0.056921884417533875,,,,,,,,,,,
0,89,,,0.06451425701379776,,,,,,,,,,,
0,99,,,0.05934590846300125,,,,,,,,,,,
0,109,,,0.05890147387981415,,,,,,,,,,,
0,119,,,0.061688464134931564,,,,,,,,,,,
0,129,,,0.0556732639670372,,,,,,,,,,,
0,139,,,0.05785684660077095,,,,,,,,,,,
0,149,,,0.05959073454141617,,,,,,,,,,,
0,159,,,0.053727611899375916,,,,,,,,,,,
0,169,,,0.0584670715034008,,,,,,,,,,,
0,179,,,0.056279461830854416,,,,,,,,,,,
0,189,,,0.06262397766113281,,,,,,,,,,,
0,199,,,0.05396844819188118,,,,,,,,,,,
0,209,,,0.057632092386484146,,,,,,,,,,,
0,219,,,0.06469772756099701,,,,,,,,,,,
0,229,,,0.055914562195539474,,,,,,,,,,,
0,239,,,0.05999387800693512,,,,,,,,,,,
0,249,,,0.0601438470184803,,,,,,,,,,,
0,259,,,0.05613384768366814,,,,,,,,,,,
0,269,,,0.050305865705013275,,,,,,,,,,,
0,279,,,0.05698077380657196,,,,,,,,,,,
0,282,,,,0.06311344355344772,,,,,,,,,,
1,289,,,0.0558866448700428,,,,,,,,,,,
1,299,,,0.05490946024656296,,,,,,,,,,,
1,309,,,0.05939250439405441,,,,,,,,,,,
1,319,,,0.05709695816040039,,,,,,,,,,,
1,329,,,0.055081360042095184,,,,,,,,,,,
1,339,,,0.055925607681274414,,,,,,,,,,,
1,349,,,0.06004927307367325,,,,,,,,,,,
1,359,,,0.058415014296770096,,,,,,,,,,,
1,369,,,0.054861199110746384,,,,,,,,,,,
1,379,,,0.0544448122382164,,,,,,,,,,,
1,389,,,0.05907004326581955,,,,,,,,,,,
1,399,,,0.05521344020962715,,,,,,,,,,,
1,409,,,0.061816997826099396,,,,,,,,,,,
1,419,,,0.05768335983157158,,,,,,,,,,,
1,429,,,0.05467400327324867,,,,,,,,,,,
1,439,,,0.06131716072559357,,,,,,,,,,,
1,449,,,0.055553074926137924,,,,,,,,,,,
1,459,,,0.05566476285457611,,,,,,,,,,,
1,469,,,0.052721165120601654,,,,,,,,,,,
1,479,,,0.05465008318424225,,,,,,,,,,,
1,489,,,0.05813038349151611,,,,,,,,,,,
1,499,,,0.05662006512284279,,,,,,,,,,,
1,509,,,0.0557524636387825,,,,,,,,,,,
1,519,,,0.054316990077495575,,,,,,,,,,,
1,529,,,0.055368877947330475,,,,,,,,,,,
1,539,,,0.05839824676513672,,,,,,,,,,,
1,549,,,0.0573308952152729,,,,,,,,,,,
1,559,,,0.05559220910072327,,,,,,,,,,,
1,565,,,,0.05658089369535446,,,,,,,,,,
2,569,,,0.057711925357580185,,,,,,,,,,,
2,579,,,0.05646993964910507,,,,,,,,,,,
2,589,,,0.054768841713666916,,,,,,,,,,,
2,599,,,0.05424083024263382,,,,,,,,,,,
2,609,,,0.06006346270442009,,,,,,,,,,,
2,619,,,0.059713829308748245,,,,,,,,,,,
2,629,,,0.0549292266368866,,,,,,,,,,,
2,639,,,0.05800626054406166,,,,,,,,,,,
2,649,,,0.05595610290765762,,,,,,,,,,,
2,659,,,0.05492581054568291,,,,,,,,,,,
2,669,,,0.05576770380139351,,,,,,,,,,,
2,679,,,0.055243197828531265,,,,,,,,,,,
2,689,,,0.05490071699023247,,,,,,,,,,,
2,699,,,0.05668076500296593,,,,,,,,,,,
2,709,,,0.054847996681928635,,,,,,,,,,,
2,719,,,0.05270766466856003,,,,,,,,,,,
2,729,,,0.05947587266564369,,,,,,,,,,,
2,739,,,0.052290428429841995,,,,,,,,,,,
2,749,,,0.055384453386068344,,,,,,,,,,,
2,759,,,0.05484888330101967,,,,,,,,,,,
2,769,,,0.054438646882772446,,,,,,,,,,,
2,779,,,0.05407018959522247,,,,,,,,,,,
2,789,,,0.050377991050481796,,,,,,,,,,,
2,799,,,0.05537522956728935,,,,,,,,,,,
2,809,,,0.05624430999159813,,,,,,,,,,,
2,819,,,0.054465148597955704,,,,,,,,,,,
2,829,,,0.06092694029211998,,,,,,,,,,,
2,839,,,0.060320816934108734,,,,,,,,,,,
2,848,,,,0.056046366691589355,,,,,,,,,,
3,849,,,0.05654112249612808,,,,,,,,,,,
3,859,,,0.05571065470576286,,,,,,,,,,,
3,869,,,0.058058224618434906,,,,,,,,,,,
3,879,,,0.05517525598406792,,,,,,,,,,,
3,889,,,0.051655929535627365,,,,,,,,,,,
3,899,,,0.055428363382816315,,,,,,,,,,,
3,909,,,0.05600685998797417,,,,,,,,,,,
3,919,,,0.05705709755420685,,,,,,,,,,,
3,929,,,0.05933517962694168,,,,,,,,,,,
3,939,,,0.05364860221743584,,,,,,,,,,,
3,949,,,0.053856298327445984,,,,,,,,,,,
3,959,,,0.059141483157873154,,,,,,,,,,,
3,969,,,0.052587028592824936,,,,,,,,,,,
3,979,,,0.055277563631534576,,,,,,,,,,,
3,989,,,0.05571852996945381,,,,,,,,,,,
