weight_norm/gru.weight_hh_l1,weight_norm/gru.weight_ih_l0,weight_norm/gru.bias_hh_l1,weight_norm/gru.weight_hh_l0,weight_norm/gru.bias_ih_l1,weight_norm/fc.0.weight,weight_norm/fc.0.bias,step,weight_norm/fc.3.bias,train_loss,weight_norm/gru.bias_ih_l0,weight_norm/fc.3.weight,epoch,weight_norm/gru.weight_ih_l1,weight_norm/gru.bias_hh_l0,train_loss_epoch,val_f1,val_auc,val_map,val_loss
16.012371063232422,27.698814392089844,0.9821527600288391,16.02263832092285,1.0094053745269775,6.5099687576293945,0.3946230113506317,0,0.7495649456977844,,1.0021705627441406,8.115156173706055,0,15.991782188415527,0.9989518523216248,,,,,
,,,,,,,0,,,,,0,,,,,,,
,,,,,,,4,,0.6970363855361938,,,0,,,,,,,
,,,,,,,9,,0.4984329342842102,,,0,,,,,,,
,,,,,,,14,,0.23252761363983154,,,0,,,,,,,
,,,,,,,19,,0.10245206952095032,,,0,,,,,,,
,,,,,,,24,,0.07766149193048477,,,0,,,,,,,
,,,,,,,29,,0.0757417231798172,,,0,,,,,,,
,,,,,,,34,,0.08111509680747986,,,0,,,,,,,
,,,,,,,39,,0.06947541236877441,,,0,,,,,,,
,,,,,,,44,,0.06943118572235107,,,0,,,,,,,
,,,,,,,49,,0.06000670790672302,,,0,,,,,,,
,,,,,,,54,,0.0680701732635498,,,0,,,,,,,
,,,,,,,59,,0.07612453401088715,,,0,,,,,,,
,,,,,,,64,,0.06592144072055817,,,0,,,,,,,
,,,,,,,69,,0.05821305885910988,,,0,,,,,,,
,,,,,,,74,,0.06331272423267365,,,0,,,,,,,
,,,,,,,79,,0.05696288123726845,,,0,,,,,,,
,,,,,,,84,,0.06341426074504852,,,0,,,,,,,
,,,,,,,89,,0.056499943137168884,,,0,,,,,,,
,,,,,,,94,,0.05813657119870186,,,0,,,,,,,
,,,,,,,99,,0.06006462872028351,,,0,,,,,,,
,,,,,,,104,,0.06132178381085396,,,0,,,,,,,
,,,,,,,109,,0.058519817888736725,,,0,,,,,,,
,,,,,,,114,,0.060733046382665634,,,0,,,,,,,
,,,,,,,119,,0.061351481825113297,,,0,,,,,,,
,,,,,,,124,,0.06068776175379753,,,0,,,,,,,
,,,,,,,129,,0.061319123953580856,,,0,,,,,,,
,,,,,,,134,,0.057421617209911346,,,0,,,,,,,
,,,,,,,139,,0.059859637171030045,,,0,,,,,,,
,,,,,,,144,,0.050116509199142456,,,0,,,,,,,
,,,,,,,149,,0.06117425486445427,,,0,,,,,,,
,,,,,,,154,,0.05740463361144066,,,0,,,,,,,
,,,,,,,159,,0.056009646505117416,,,0,,,,,,,
,,,,,,,164,,0.052879996597766876,,,0,,,,,,,
,,,,,,,169,,0.05512712523341179,,,0,,,,,,,
,,,,,,,174,,0.05627894774079323,,,0,,,,,,,
,,,,,,,179,,0.05563746765255928,,,0,,,,,,,
,,,,,,,184,,0.0587303452193737,,,0,,,,,,,
,,,,,,,189,,0.06485642492771149,,,0,,,,,,,
,,,,,,,194,,0.05941392481327057,,,0,,,,,,,
,,,,,,,199,,0.05510763078927994,,,0,,,,,,,
,,,,,,,204,,0.06613539904356003,,,0,,,,,,,
,,,,,,,209,,0.06178738549351692,,,0,,,,,,,
,,,,,,,214,,0.06746574491262436,,,0,,,,,,,
,,,,,,,219,,0.05878277122974396,,,0,,,,,,,
,,,,,,,224,,0.05687863752245903,,,0,,,,,,,
,,,,,,,229,,0.05769440531730652,,,0,,,,,,,
,,,,,,,234,,0.055881381034851074,,,0,,,,,,,
,,,,,,,239,,0.05495421960949898,,,0,,,,,,,
,,,,,,,244,,0.05965482071042061,,,0,,,,,,,
,,,,,,,249,,0.05668369680643082,,,0,,,,,,,
,,,,,,,254,,0.062148064374923706,,,0,,,,,,,
,,,,,,,259,,0.058008257299661636,,,0,,,,,,,
,,,,,,,264,,0.05827508121728897,,,0,,,,,,,
,,,,,,,269,,0.0583701990544796,,,0,,,,,,,
,,,,,,,274,,0.05608236417174339,,,0,,,,,,,
,,,,,,,279,,0.05739670246839523,,,0,,,,,,,
,,,,,,,284,,0.052113257348537445,,,0,,,,,,,
,,,,,,,289,,0.06019007787108421,,,0,,,,,,,
,,,,,,,294,,0.05637190490961075,,,0,,,,,,,
,,,,,,,299,,0.06164566054940224,,,0,,,,,,,
,,,,,,,304,,0.0621972382068634,,,0,,,,,,,
,,,,,,,309,,0.05637054517865181,,,0,,,,,,,
,,,,,,,314,,0.060236625373363495,,,0,,,,,,,
,,,,,,,319,,0.06701886653900146,,,0,,,,,,,
,,,,,,,324,,0.05656519904732704,,,0,,,,,,,
,,,,,,,329,,0.05866522341966629,,,0,,,,,,,
,,,,,,,334,,0.06612243503332138,,,0,,,,,,,
,,,,,,,339,,0.05746404826641083,,,0,,,,,,,
,,,,,,,344,,0.056906670331954956,,,0,,,,,,,
,,,,,,,349,,0.057843826711177826,,,0,,,,,,,
,,,,,,,354,,0.05923058092594147,,,0,,,,,,,
,,,,,,,359,,0.06096615642309189,,,0,,,,,,,
,,,,,,,364,,0.06233168765902519,,,0,,,,,,,
,,,,,,,369,,0.052353616803884506,,,0,,,,,,,
,,,,,,,374,,0.056363314390182495,,,0,,,,,,,
,,,,,,,379,,0.06168661266565323,,,0,,,,,,,
,,,,,,,384,,0.055888429284095764,,,0,,,,,,,
,,,,,,,389,,0.061905983835458755,,,0,,,,,,,
,,,,,,,394,,0.055491529405117035,,,0,,,,,,,
,,,,,,,399,,0.0599978007376194,,,0,,,,,,,
,,,,,,,404,,0.05732756480574608,,,0,,,,,,,
,,,,,,,409,,0.06236405298113823,,,0,,,,,,,
,,,,,,,414,,0.06435149163007736,,,0,,,,,,,
,,,,,,,419,,0.06831196695566177,,,0,,,,,,,
,,,,,,,424,,0.05789777263998985,,,0,,,,,,,
,,,,,,,429,,0.0569208562374115,,,0,,,,,,,
,,,,,,,434,,0.05677121505141258,,,0,,,,,,,
,,,,,,,439,,0.06090673804283142,,,0,,,,,,,
,,,,,,,444,,0.05930477753281593,,,0,,,,,,,
,,,,,,,449,,0.059017106890678406,,,0,,,,,,,
,,,,,,,454,,0.058468904346227646,,,0,,,,,,,
,,,,,,,459,,0.05871117115020752,,,0,,,,,,,
,,,,,,,464,,0.049930911511182785,,,0,,,,,,,
,,,,,,,469,,0.06040172651410103,,,0,,,,,,,
,,,,,,,474,,0.048285387456417084,,,0,,,,,,,
,,,,,,,479,,0.05676895007491112,,,0,,,,,,,
,,,,,,,484,,0.06178690120577812,,,0,,,,,,,
,,,,,,,489,,0.06425957381725311,,,0,,,,,,,
,,,,,,,494,,0.05674907565116882,,,0,,,,,,,
