epoch,step,train_auc_eval,train_f1_eval,train_loss,train_loss_eval,train_map_eval,val_auc,val_f1,val_loss,val_map
0,0,0.8038601279258728,0.013234908692538738,,0.04813829947244521,0.057210519909858704,,,,
0,282,,,0.04883945733308792,,,,,,
1,565,,,0.048756588250398636,,,,,,
2,848,,,0.04881180077791214,,,,,,
3,1131,,,0.048801712691783905,,,,,,
4,1414,,,0.04878467321395874,,,,,,
5,1697,,,0.048873916268348694,,,,,,
6,1980,,,0.04873605817556381,,,,,,
7,2263,,,0.048886071890592575,,,,,,
8,2546,,,0.04894491657614708,,,,,,
9,9,0.803243100643158,0.013735843822360039,,0.04830067848996606,0.057197455316782,,,,
9,2829,,,,,,0.35908418893814087,0.01342195738106966,0.04759129136800766,0.10560454428195953
9,2829,,,0.048632290214300156,,,,,,
10,3112,,,0.04875388368964195,,,,,,
11,3395,,,0.04880166053771973,,,,,,
12,3678,,,0.04869498685002327,,,,,,
13,3961,,,0.04881366342306137,,,,,,
14,4244,,,0.048824556171894073,,,,,,
15,4527,,,0.04879740998148918,,,,,,
16,4810,,,0.04885052889585495,,,,,,
17,5093,,,0.0487261563539505,,,,,,
18,5376,,,0.04893243685364723,,,,,,
19,19,0.7846121191978455,0.012739389203488827,,0.050419815689916735,0.05194590613245964,,,,
19,5659,,,,,,0.3511957824230194,0.012581396847963333,0.04973671957850456,0.09477347135543823
19,5659,,,0.04870758578181267,,,,,,
20,5942,,,0.04867727309465408,,,,,,
21,6225,,,0.04876755550503731,,,,,,
22,6508,,,0.0486941821873188,,,,,,
23,6791,,,0.048937052488327026,,,,,,
24,7074,,,0.04873158037662506,,,,,,
25,7357,,,0.048734087496995926,,,,,,
26,7640,,,0.048683132976293564,,,,,,
27,7923,,,0.04881618544459343,,,,,,
28,8206,,,0.04888677969574928,,,,,,
29,29,0.8048512935638428,0.014314619824290276,,0.047738525757736384,0.05958603695034981,,,,
29,8489,,,,,,0.3603781461715698,0.014207218773663044,0.0470682792365551,0.10798011720180511
29,8489,,,0.04869992658495903,,,,,,
30,8772,,,0.04868016019463539,,,,,,
31,9055,,,0.04868355765938759,,,,,,
32,9338,,,0.048690881580114365,,,,,,
33,9621,,,0.04861284792423248,,,,,,
