epoch,step,train_loss,train_loss_epoch,val_auc,val_f1,val_loss,val_map
0,9,0.7064986228942871,,,,,
0,19,0.6115598082542419,,,,,
0,29,0.5583173632621765,,,,,
0,36,,0.5809698104858398,,,,
1,39,0.5046352744102478,,,,,
1,49,0.47440943121910095,,,,,
1,59,0.4524698555469513,,,,,
1,69,0.42791956663131714,,,,,
1,73,,0.45777928829193115,,,,
2,79,0.4128330945968628,,,,,
2,89,0.3924933969974518,,,,,
2,99,0.373523473739624,,,,,
2,109,0.35516172647476196,,,,,
2,110,,0.3770555257797241,,,,
3,119,0.3421335220336914,,,,,
3,129,0.32770413160324097,,,,,
3,139,0.31119468808174133,,,,,
3,147,,0.314977765083313,,,,
4,149,0.2905026078224182,,,,,
4,159,0.27599093317985535,,,,,
4,169,0.2671917676925659,,,,,
4,179,0.25325360894203186,,,,,
4,184,,0.26650384068489075,,,,
5,189,0.24487191438674927,,,,,
5,199,0.23382149636745453,,,,,
5,209,0.22603186964988708,,,,,
5,219,0.21902339160442352,,,,,
5,221,,0.22891730070114136,,,,
6,229,0.21359261870384216,,,,,
6,239,0.20614075660705566,,,,,
6,249,0.19961191713809967,,,,,
6,258,,0.19885514676570892,,,,
7,259,0.18666324019432068,,,,,
7,269,0.1788736879825592,,,,,
7,279,0.17571264505386353,,,,,
7,289,0.16814668476581573,,,,,
7,295,,0.175485298037529,,,,
8,299,0.16371557116508484,,,,,
8,309,0.16541627049446106,,,,,
8,319,0.15637795627117157,,,,,
8,329,0.1516367644071579,,,,,
8,332,,0.15668964385986328,,,,
9,339,0.1483144909143448,,,,,
9,349,0.1460980474948883,,,,,
9,359,0.14226269721984863,,,,,
9,369,0.13778185844421387,,,,,
9,369,,,0.5412703156471252,0.0,0.13229292631149292,0.027006113901734352
9,369,,0.14200495183467865,,,,
10,379,0.13470204174518585,,,,,
10,389,0.13311614096164703,,,,,
10,399,0.12551143765449524,,,,,
10,406,,0.12952090799808502,,,,
11,409,0.1246301531791687,,,,,
11,419,0.11997897177934647,,,,,
11,429,0.11863426864147186,,,,,
11,439,0.11645637452602386,,,,,
11,443,,0.11958076804876328,,,,
12,449,0.11408597975969315,,,,,
12,459,0.11363066732883453,,,,,
12,469,0.10979236662387848,,,,,
12,479,0.10920694470405579,,,,,
12,480,,0.11138227581977844,,,,
13,489,0.10694693773984909,,,,,
13,499,0.10655386000871658,,,,,
13,509,0.10493233799934387,,,,,
13,517,,0.10468550026416779,,,,
14,519,0.1041320264339447,,,,,
14,529,0.09908798336982727,,,,,
14,539,0.10030363500118256,,,,,
14,549,0.0979534238576889,,,,,
14,554,,0.09923622012138367,,,,
15,559,0.09744679182767868,,,,,
15,569,0.09486039727926254,,,,,
15,579,0.09258943051099777,,,,,
15,589,0.09075678884983063,,,,,
15,591,,0.09422431141138077,,,,
16,599,0.08889366686344147,,,,,
16,609,0.08704947680234909,,,,,
16,619,0.08714478462934494,,,,,
16,628,,0.08993638306856155,,,,
17,629,0.08847817033529282,,,,,
17,639,0.08720940351486206,,,,,
17,649,0.08403771370649338,,,,,
17,659,0.08644639700651169,,,,,
17,665,,0.08660836517810822,,,,
18,669,0.08264362812042236,,,,,
18,679,0.08198763430118561,,,,,
18,689,0.0838121548295021,,,,,
18,699,0.08214867115020752,,,,,
18,702,,0.08328238129615784,,,,
19,709,0.08197414129972458,,,,,
19,719,0.07966917008161545,,,,,
19,729,0.07816684991121292,,,,,
19,739,0.08179029822349548,,,,,
19,739,,,0.5492157340049744,0.0,0.07798793166875839,0.0315525196492672
19,739,,0.0808294415473938,,,,
20,749,0.08082292228937149,,,,,
